animal_id;data_nasc;sexo;grupo;data_peso_anterior;peso_anterior;data_peso_atual;peso_atual
PT024592734;29-04-2025;F;MRUIVO10;28-11-2025;185;22-12-2025;217
PT024592739;14-05-2025;F;MRUIVO10;28-11-2025;180;22-12-2025;215
PT024778737;27-07-2025;M;MRUIVO19;31-12-2025;190;23-01-2026;228
PT024778756;10-08-2025;M;ENF, TR FRISIOS;30-12-2025;159;22-01-2026;194
PT033930003;12-04-2025;F;MRUIVO13;14-11-2025;244;05-12-2025;253
PT033930008;09-06-2025;M;MRUIVO26;14-11-2025;225;05-12-2025;252
PT034107775;10-02-2025;M;MRUIVO25;12-12-2025;344;06-01-2026;327
PT034548981;17-03-2025;M;TROLHO13;18-11-2025;304;27-01-2026;420
PT034616111;20-10-2024;F;TROLHO90;22-08-2025;318;26-01-2026;530
PT034635384;21-03-2025;F;MRUIVO14;19-12-2025;251;06-01-2026;270
PT034807484;05-08-2025;M;ENF, TR FRISIOS;30-12-2025;170;22-01-2026;208
PT034838099;27-09-2024;M;TROLHO1;01-04-2025;148;28-01-2026;506
PT034867063;06-06-2025;M;MRUIVO19;31-12-2025;270;23-01-2026;299
PT034867082;19-06-2025;M;MRUIVO19;31-12-2025;239;23-01-2026;276
PT034878392;14-06-2025;F;MRUIVO10;31-12-2025;215;23-01-2026;239
PT034971215;22-01-2025;M;TROLHO16;28-08-2025;238;28-01-2026;450
PT035016279;05-01-2025;M;TROLHO16;22-08-2025;190;28-01-2026;400
PT035025868;15-03-2025;M;MRUIVO26;18-11-2025;247;05-12-2025;272
PT035045366;25-12-2024;M;TROLHO13;09-10-2025;302;27-01-2026;452
PT035088092;14-10-2024;M;SEM PARQUE;23-07-2025;268;13-11-2025;422
PT035088097;14-10-2024;F;TROLHO81;23-07-2025;242;27-01-2026;427
PT035088110;25-10-2024;F;TROLHO81;23-07-2025;232;27-01-2026;432
PT035088115;31-10-2024;M;TROLHO14;23-07-2025;304;26-01-2026;530
PT035106784;16-04-2025;M;MRUIVO25;12-12-2025;257;06-01-2026;280
PT035108448;08-03-2025;M;MRUIVO25;12-12-2025;259;06-01-2026;282
PT035146600;23-06-2025;F;MRUIVO14;19-12-2025;273;06-01-2026;295
PT035160507;23-06-2025;F;MRUIVO14;19-12-2025;160;06-01-2026;172
PT035178781;01-08-2025;F;MRUIVO14;19-12-2025;169;06-01-2026;177
PT035229582;07-04-2025;M;TROLHO9;31-10-2025;210;27-01-2026;360
PT035248835;11-02-2025;F;MRUIVO13;18-11-2025;302;05-12-2025;348
PT035277224;18-10-2024;F;TROLHO90;22-08-2025;230;26-01-2026;397
PT035277229;25-10-2024;M;TROLHO10;22-08-2025;266;28-01-2026;524
PT035277243;05-11-2024;M;TROLHO2;07-08-2025;252;26-01-2026;490
PT035277248;05-11-2024;M;TROLHO10;22-08-2025;258;28-01-2026;496
PT035279520;06-11-2024;M;TROLHO14;23-07-2025;280;26-01-2026;520
PT035279525;12-11-2024;F;TROLHO81;23-07-2025;312;27-01-2026;512
PT035279563;28-10-2024;F;TROLHO81;26-06-2025;212;27-01-2026;394
PT035279568;06-11-2024;F;TROLHO81;26-06-2025;254;27-01-2026;479
PT035279582;09-12-2024;F;TROLHO89;10-07-2025;102;26-01-2026;370
PT035279587;12-11-2024;M;TROLHO10;26-06-2025;260;28-01-2026;582
PT035311398;31-03-2025;F;MRUIVO12;13-01-2026;302;13-01-2026;302
PT035312765;02-01-2025;M;TROLHO9;31-10-2025;189;27-01-2026;332
PT035325951;17-07-2025;F;MRUIVO10;31-12-2025;167;23-01-2026;204
PT035344780;22-06-2025;M;MRUIVO19;31-12-2025;264;23-01-2026;270
PT035344846;08-08-2025;M;ENF, TR FRISIOS;30-12-2025;174;22-01-2026;214
PT035344860;16-08-2025;M;ENF, TR FRISIOS;30-12-2025;151;22-01-2026;184
PT035344865;21-08-2025;M;ENF, TR FRISIOS;30-12-2025;150;22-01-2026;176
PT035375951;09-07-2025;M;MRUIVO19;31-12-2025;209;23-01-2026;241
PT035569096;06-02-2025;F;MRUIVO12;13-01-2026;257;13-01-2026;257
PT035569539;17-11-2024;M;TROLHO20;26-09-2025;224;27-01-2026;422
PT035569553;24-11-2024;F;TROLHO89;26-09-2025;262;26-01-2026;412
PT035569558;24-11-2024;M;TROLHO22;26-09-2025;294;26-01-2026;476
PT035572022;15-02-2025;F;TROLHO89;02-10-2025;188;26-01-2026;303
PT035603820;08-03-2025;F;MRUIVO12;13-01-2026;227;13-01-2026;227
PT035625402;01-11-2024;M;TROLHO14;22-08-2025;324;26-01-2026;540
PT035626553;26-02-2025;M;MRUIVO22;12-11-2025;142;28-11-2025;147
PT035647589;30-12-2024;M;TROLHO24;05-06-2025;238;27-01-2026;500
PT035647602;20-01-2025;M;TROLHO24;05-06-2025;162;27-01-2026;446
PT035647607;31-03-2025;M;TROLHO24;05-06-2025;208;27-01-2026;508
PT035647621;06-05-2025;M;TROLHO20;26-09-2025;236;27-01-2026;374
PT035650312;01-02-2025;M;MRUIVO16;19-01-2026;421;19-01-2026;421
PT035654230;16-03-2025;M;TROLHO18;26-09-2025;206;27-01-2026;400
PT035655720;26-01-2025;M;TROLHO16;22-08-2025;244;28-01-2026;438
PT035655725;30-01-2025;M;TROLHO14;22-08-2025;298;26-01-2026;510
PT035658370;09-08-2025;M;ENF, TR FRISIOS;30-12-2025;166;22-01-2026;207
PT035658375;15-08-2025;M;ENF, TR FRISIOS;30-12-2025;149;22-01-2026;184
PT035662957;04-03-2025;F;MRUIVO12;13-01-2026;267;13-01-2026;267
PT035663169;14-03-2025;F;MRUIVO12;13-01-2026;331;13-01-2026;331
PT035685901;17-11-2024;M;TROLHO17;03-10-2025;254;27-01-2026;440
PT035685982;25-01-2025;F;TROLHO60;09-10-2025;252;26-01-2026;399
PT035686033;30-12-2024;M;TROLHO13;09-10-2025;356;27-01-2026;502
PT035686151;26-12-2024;M;TROLHO13;09-10-2025;298;27-01-2026;450
PT035686156;09-01-2025;F;TROLHO91;09-10-2025;296;26-01-2026;447
PT035702783;23-04-2025;F;MRUIVO14;17-12-2025;237;06-01-2026;270
PT035702788;30-04-2025;M;MRUIVO15;17-12-2025;252;14-01-2026;311
PT035707337;18-01-2025;F;MRUIVO13;12-11-2025;241;05-12-2025;272
PT035708001;17-12-2024;M;TROLHO2;09-07-2025;260;26-01-2026;500
PT035708006;01-01-2025;M;TROLHO2;09-07-2025;240;26-01-2026;530
PT035708025;24-01-2025;F;TROLHO79;09-07-2025;186;27-01-2026;367
PT035708501;22-11-2024;M;TROLHO12;01-08-2025;318;28-01-2026;610
PT035708525;09-12-2024;F;ENFERMARIA TR;20-10-2025;176;26-01-2026;153
PT035708544;05-03-2025;M;TROLHO2;01-08-2025;254;26-01-2026;470
PT035712084;06-11-2024;M;TROLHO24;29-05-2025;274;27-01-2026;574
PT035720669;17-03-2025;M;MRUIVO22;17-11-2025;260;28-11-2025;284
PT035727798;04-12-2024;M;TROLHO24;29-05-2025;214;27-01-2026;544
PT035732808;28-03-2025;M;MRUIVO22;10-11-2025;235;28-11-2025;265
PT035736585;20-11-2024;M;TROLHO16;25-08-2025;254;28-01-2026;456
PT035745490;08-02-2025;F;MRUIVO14;19-12-2025;161;06-01-2026;176
PT035745495;24-05-2025;F;MRUIVO14;19-12-2025;135;06-01-2026;139
PT035748989;03-12-2024;M;MRUIVO22;17-11-2025;247;28-11-2025;269
PT035749672;26-04-2025;F;TROLHO89;10-11-2025;279;26-01-2026;381
PT035749818;17-12-2024;M;ENFERMARIA MR;11-04-2025;312;19-05-2025;310
PT035753391;16-01-2025;F;TROLHO60;09-10-2025;220;26-01-2026;340
PT035753396;24-03-2025;M;TROLHO13;09-10-2025;268;27-01-2026;392
PT035761971;16-11-2024;M;MRUIVO26;18-11-2025;208;05-12-2025;220
PT035763074;03-04-2025;F;TROLHO60;10-11-2025;197;26-01-2026;328
PT035763079;04-05-2025;M;MRUIVO22;10-11-2025;169;28-11-2025;208
PT035764309;25-11-2024;M;TROLHO14;22-08-2025;240;26-01-2026;480
PT035764323;12-02-2025;F;TROLHO90;22-08-2025;314;26-01-2026;499
PT035764328;12-02-2025;M;TROLHO14;22-08-2025;342;26-01-2026;520
PT035765115;01-02-2025;M;TROLHO16;22-08-2025;188;28-01-2026;406
PT035765370;29-04-2025;F;MRUIVO9;20-01-2026;277;20-01-2026;277
PT035765375;01-07-2025;F;MRUIVO20;20-01-2026;159;20-01-2026;159
PT035767053;14-04-2025;M;TROLHO9;24-10-2025;219;27-01-2026;370
PT035895324;31-12-2024;F;TROLHO90;22-08-2025;186;26-01-2026;383
PT035906785;25-11-2024;M;TROLHO16;25-08-2025;248;28-01-2026;428
PT035907596;27-01-2025;M;MRUIVO26;19-11-2025;224;05-12-2025;263
PT035909170;30-04-2025;F;MRUIVO9;23-01-2026;230;23-01-2026;230
PT035909571;31-07-2025;M;ENF, TR FRISIOS;30-12-2025;157;22-01-2026;187
PT035911611;04-03-2025;M;MRUIVO16;20-01-2026;340;20-01-2026;340
PT035911852;28-01-2025;M;TROLHO13;07-10-2025;282;27-01-2026;382
PT035912262;01-03-2025;F;MRUIVO12;13-01-2026;290;13-01-2026;290
PT035915034;01-11-2025;M;MRUIVO23;09-01-2026;261;09-01-2026;261
PT035926061;15-12-2024;M;TROLHO21;13-06-2025;244;26-01-2026;560
PT035928621;04-12-2024;F;TROLHO79;23-07-2025;230;23-09-2025;306
PT035928626;04-12-2024;M;TROLHO14;23-07-2025;270;26-01-2026;510
